Iban;Naam;Bedrag;Valuta;BIC;Mededeling;Uitvoeringsdatum
GB82WEST12345698765433;Ada Lovelace Ltd;1250,00;EUR;WESTGB22;INV-2026-0001;2026-09-18
DE89370400440532013000;Beispiel GmbH;3400,50;EUR;DEUTDEFF;INV-2026-0002;2026-09-18
NL91ABNA0417164300;Handel & Zonen BV;875,25;EUR;ABNANL2A;INV-2026-0003;2026-09-18
FR1420041010050500013M02606;Atelier SARL;199,99;EUR;PSSTFRPP;INV-2026-0003;2026-09-18
CH9300762011623852957;Zürich Treuhand AG;0;EUR;UBSWCHZH80A;INV-2026-0005;2026-09-18
US64SVBKUS6S3300958879;Overseas Vendor Inc;500,00;EUR;SVBKUS6S;INV-2026-0006;2026-09-18
;No Iban At All;220,00;EUR;;INV-2026-0007;2026-09-18
BE68539007547034;Betaalbaar BV;1.234,56;EUR;GEBABEBB;INV-2026-0008;2026-09-18
GB82WEST12345698765432;Ada Lovelace Ltd;1250,00;EUR;WESTGB22;INV-2026-0001;2026-09-18
TR330006100519786457841326;Istanbul Tedarik AS;750,00;EUR;TRBKTRIS;INV-2026-0009;2026-09-18
